mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
Ozothamnus rogersianus,38,Atriplex nummularia subsp. nummularia,159,Tephrosia ephippioides,45,Isotropis wheeleri,124,Hydrocotyle rugulosa,126,NA,NA,Pterostylis baptistii,159,Lepturus geminatus,15,NA,NA,NA,NA,Dalbergia candenatensis,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia disjuncta,180,NA,NA,NA,NA
Grevillea humilis subsp. maritima,35,Ozothamnus decurrens,159,Pultenaea maritima,44,Acacia lasiocarpa var. bracteolata,123,Vittadinia cervicularis,122,NA,NA,Conostylis juncea,157,Chrysopogon rigidus,14,NA,NA,NA,NA,Acacia frigescens,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus,179,NA,NA,NA,NA
Phebalium verrucosum,35,Tecticornia syncarpa,159,Acacia delicatula,42,Senna charlesiana,123,Ceratogyne obionoides,121,NA,NA,Glycine falcata,156,Cyperus malaccensis,14,NA,NA,NA,NA,Acacia armillata,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus croajingolensis,178,NA,NA,NA,NA
Hibbertia appressa,32,Melaleuca pauperiflora subsp. mutica,157,Almaleea paludosa,42,Senna glutinosa,122,Leptorhynchos tetrachaetus,121,NA,NA,Gratiola pedunculata,156,Ischaemum polystachyum,14,NA,NA,NA,NA,Acacia orites,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia peltata,177,NA,NA,NA,NA
Hibbertia silvestris,31,Eremaea pauciflora,154,Pultenaea rariflora,42,Tephrosia sp. D Kimberley Flora (R.D.Royce 1848),122,Dysphania rhadinostachya,118,NA,NA,Desmocladus lateriflorus,155,Ischaemum barbatum,13,NA,NA,NA,NA,Gymnostoma australianum,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terminalia grandiflora,177,NA,NA,NA,NA
Leionema bilobum subsp. serrulatum,30,Prostanthera behriana,154,Acacia uliginosa,41,Acacia latipes,118,Lepidium sagittulatum,118,NA,NA,Drosera stolonifera,155,Panicum queenslandicum var. acuminatum,13,NA,NA,NA,NA,Acacia gordonii,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus microneura,176,NA,NA,NA,NA
Prostanthera sejuncta,30,Sclerolaena muricata var. villosa,154,Aotus passerinoides,40,Gastrolobium crassifolium,117,Eriochlamys behrii,114,NA,NA,Goodenia glauca,155,Triodia gracilis,13,NA,NA,NA,NA,Cassia marksiana,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus apodophylla,172,NA,NA,NA,NA
Gardenia actinocarpa,29,Grammosolen dixonii,150,Acacia adenogonia,39,Gastrolobium obovatum,116,Harmsiodoxa brevipes var. brevipes,113,NA,NA,Celmisia pugioniformis,153,Triodia inaequiloba,13,NA,NA,NA,NA,Barklya syringifolia,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus longirostrata,172,NA,NA,NA,NA
Trochocarpa clarkei,29,Tecticornia lylei,148,Pultenaea tarik,39,Daviesia lancifolia,115,Euphrasia caudata,112,NA,NA,Opercularia diphylla,153,Triodia latzii,13,NA,NA,NA,NA,Senna surattensis subsp. sulfurea,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetrapleura,172,NA,NA,NA,NA
Baeckea latifolia,28,Tecticornia halocnemoides subsp. longispicata,146,Phyllota diffusa,37,Acacia mackeyana,113,Elachanthus pusillus,107,NA,NA,Stackhousia spathulata,153,Eragrostis ecarinata,12,NA,NA,NA,NA,Storckiella australiensis,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alba var. australasica,171,NA,NA,NA,NA
Gaultheria viridicarpa,27,Corchorus walcottii,144,Acacia subracemosa,35,Acacia ulicina,113,Wahlenbergia preissii,106,NA,NA,Gonocarpus micranthus subsp. ramosissimus,152,Aristida utilis,11,NA,NA,NA,NA,Acacia cangaiensis,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus sparsifolia,169,NA,NA,NA,NA
Pomaderris helianthemifolia subsp. minor,27,Chenopodium gaudichaudianum,143,Phyllodium hackeri,34,Acacia rhetinocarpa,112,Centrolepis cephaloformis subsp. cephaloformis,105,NA,NA,Oxalis rubens,152,Triodia secunda,11,NA,NA,NA,NA,Bossiaea arenicola,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus suffulgens,167,NA,NA,NA,NA
Richea victoriana,27,Maireana spongiocarpa,140,Acacia dacrydioides,32,Daviesia teretifolia,112,Brachyscome smithwhitei,103,NA,NA,Conostylis pusilla,150,Triodia uniaristata,11,NA,NA,NA,NA,Acacia terminalis subsp. Long inflorescences (P.G.Kodela 307),34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cephalocarpa,165,NA,NA,NA,NA
Asterolasia asteriscophora,25,Correa backhouseana var. coriacea,139,Almaleea capitata,32,Gastrolobium oxylobioides,112,Cuphonotus andraeanus,102,NA,NA,Oxalis thompsoniae,150,Apluda mutica,10,NA,NA,NA,NA,Archidendron muellerianum,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus goniocalyx subsp. goniocalyx,163,NA,NA,NA,NA
Monotoca oreophila,25,Sclerolaena stelligera,139,Acacia sp. El Sharana (N.B.Byrnes 1326),31,Acacia rossei,111,Triglochin hexagona,101,NA,NA,Thysanotus tenellus,149,Eragrostiella bifaria var. bifaria,10,NA,NA,NA,NA,Acacia phlebophylla,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia stockeri subsp. peninsularis,162,NA,NA,NA,NA
Grevillea monslacana,24,Tecticornia halocnemoides subsp. halocnemoides,139,Desmodium velutinum,31,Daviesia grahamii,110,Lobelia dentata,100,NA,NA,Conostylis aculeata,147,Triodia aurita,10,NA,NA,NA,NA,Archidendron lucyi,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus aggregata,162,NA,NA,NA,NA
Hibbertia aspera subsp. pilosifolia,24,Hannafordia bissillii subsp. bissillii,138,Dillwynia palustris,31,Pultenaea empetrifolia,110,Poranthera triandra,98,NA,NA,Drosera lanata,147,Triodia roscida,10,NA,NA,NA,NA,Dendrolobium umbellatum,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ferriticola,161,NA,NA,NA,NA
Philotheca obovatifolia,24,Spyridium eriocephalum var. eriocephalum,136,Plagiocarpus axillaris,31,Daviesia ulicifolia subsp. aridicola,109,Menkea crassa,97,NA,NA,Thelymitra luteocilium,147,Eragrostis fenshamii,9,NA,NA,NA,NA,Allocasuarina duncanii,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia stockeri subsp. stockeri,161,NA,NA,NA,NA
Olearia rugosa subsp. allenderae,22,Microcybe multiflora subsp. baccharoides,135,Platylobium reflexum,31,Indigofera ewartiana,107,Gilruthia osbornei,96,NA,NA,Diuris monticola,146,Eragrostis hirticaulis,9,NA,NA,NA,NA,Cassia queenslandica,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus patellaris,160,NA,NA,NA,NA
Pomaderris vacciniifolia,22,Melaleuca leuropoma,134,Acacia gracilenta,30,Senna glaucifolia,106,Rhodanthe haigii,96,NA,NA,Aciphylla simplicifolia,144,Eragrostis petraea,9,NA,NA,NA,NA,Lepidozamia hopei,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus xerothermica,158,NA,NA,NA,NA
Tasmannia vickeriana,22,Sclerolaena deserticola,133,Cajanus viscidus,30,Acacia deficiens,105,Cotula cotuloides,95,NA,NA,Cymbonotus lawsonianus,144,Triodia pascoeana,9,NA,NA,NA,NA,Cassia sp. Paluma Range (G.Sankowsky+ 450),25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus major,157,NA,NA,NA,NA
Grevillea alpivaga,19,Amyema linophylla subsp. orientalis,132,Cullen virens,30,Gastrolobium musaceum,105,Dysphania simulans,95,NA,NA,Glossodia minor,144,Triodia vella,9,NA,NA,NA,NA,Crudia abbreviata,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus robusta,154,NA,NA,NA,NA
Grevillea oxyantha subsp. ecarinata,19,Corynotheca micrantha var. divaricata,132,Dendrolobium polyneurum,30,Jacksonia arida,105,Mollugo verticillata,94,NA,NA,Wahlenbergia littoricola,144,Triodia fitzgeraldii,8,NA,NA,NA,NA,Erythrina insularis,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dura,153,NA,NA,NA,NA
Boronia deanei subsp. acutifolia,18,Billardiera sericophora,126,Tephrosia sp. Copperfield River (P.I.Forster PIF14768),30,Acacia tarculensis,104,Heliotropium conocarpum,93,NA,NA,Caladenia cucullata,143,Arthraxon castratus,7,NA,NA,NA,NA,Vachellia pachyphloia,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus notabilis,150,NA,NA,NA,NA
Correa reflexa var. lobata,18,Sclerolaena bicornis var. horrida,125,Acacia amanda,29,Gompholobium gompholobioides,104,Goodenia prostrata,91,NA,NA,Calochilus campestris,142,Triodia dielsii,7,NA,NA,NA,NA,Acacia hylonoma,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus similis,150,NA,NA,NA,NA
Grevillea oxyantha,18,Sclerolaena muricata var. semiglabra,124,Desmodium tenax,28,Leptosema daviesioides,104,Ixiochlamys nana,88,NA,NA,Calotis cuneata,141,Aristida forsteri,6,NA,NA,NA,NA,Sophora tomentosa,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus panda,149,NA,NA,NA,NA
Kunzea peduncularis,16,Olearia picridifolia,123,Plagiocarpus dispermus,28,Leptosema anomalum,102,Rhodanthe troedelii,87,NA,NA,Celmisia tomentella,141,Triodia aeria,6,NA,NA,NA,NA,Albizia retusa subsp. retusa,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rudis subsp. rudis,147,NA,NA,NA,NA
Coronidium elatum subsp. minus,14,Atriplex acutibractea subsp. karoniensis,122,Pultenaea tenella,28,Pultenaea purpurea,102,Brachyscome curvicarpa,86,NA,NA,Thelymitra holmesii,141,Triodia aristiglumis,6,NA,NA,NA,NA,Albizia sp. Windsor Tableland (B.Gray 2181),23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta,145,NA,NA,NA,NA
Glochidion ferdinandi var. pubens,14,Duma horrida subsp. horrida,122,Tephrosia maculata,26,Acacia harveyi,101,Angianthus milnei,83,NA,NA,Spartochloa scirpoidea,140,Digitaria sharpeana,5,NA,NA,NA,NA,Maniltoa lenticellata,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora subvelutina,144,NA,NA,NA,NA
Rubus moluccanus,14,Halgania lavandulacea,122,Tephrosia sp. Iron Range (L.J.Brass 19242),25,Acacia patagiata,101,Utricularia violacea,80,NA,NA,Wurmbea dioica,139,Paspalum multinodum,5,NA,NA,NA,NA,Acacia disparrima,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia eximia,144,NA,NA,NA,NA
Sannantha crenulata,12,Spyridium phlebophyllum,122,Tephrosia carriemichelliae,24,Gastrolobium brevipes,101,Leptorhynchos scaber,79,NA,NA,Lobelia simplicicaulis,136,Triodia bunglensis,5,NA,NA,NA,NA,Archidendron kanisii,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus caleyi subsp. caleyi,143,NA,NA,NA,NA
Asterolasia asteriscophora subsp. albiflora,11,Maireana microcarpa,121,Allocasuarina ophiolitica,23,Pultenaea elachista,101,Brachyscome debilis,77,NA,NA,Cycnogeton alcockiae,133,Triodia radonensis,5,NA,NA,NA,NA,Archidendron lovelliae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus conspicua,141,NA,NA,NA,NA
Korthalsella japonica,11,Goodenia albiflora,119,Bossiaea arenitensis,23,Daviesia benthamii subsp. humilis,96,Stellaria filiformis,76,NA,NA,Caleana minor,131,Triodia triticoides,5,NA,NA,NA,NA,Archidendropsis xanthoxylon,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus umbrawarrensis,140,NA,NA,NA,NA
Kunzea leptospermoides,9,Eremophila divaricata subsp. divaricata,116,Pultenaea williamsonii,23,Acacia tratmaniana,95,Polygala isingii,73,NA,NA,Prasophyllum tadgellianum,131,Aristida kimberleyensis,4,NA,NA,NA,NA,Acacia courtii,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ferruginea subsp. ferruginea,137,NA,NA,NA,NA
Philotheca scabra,9,Olearia pannosa subsp. pannosa,116,Tephrosia sp. Laura (M.B.Thomas 283),23,Gastrolobium floribundum,95,Cardamine papillata,72,NA,NA,Diuris dendrobioides,130,Pseudoraphis minuta,4,NA,NA,NA,NA,Bauhinia acuminata,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus baueriana,137,NA,NA,NA,NA
Amperea xiphoclada var. papillata,8,Frankenia sessilis,115,Acacia beadleana,22,Acacia ericifolia,94,Stuartina hamata,71,NA,NA,Viola sieberiana,128,Eragrostis cassa,3,NA,NA,NA,NA,Vachellia douglasica,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus yarraensis,137,NA,NA,NA,NA
Boronia citrata,8,Sclerolaena holtiana,110,Jacksonia divisa,22,Acacia helmsiana,94,Rhodanthe rubella,67,NA,NA,Ranunculus collinus,127,Digitaria basaltica,2,NA,NA,NA,NA,Albizia retusa,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus atrata,136,NA,NA,NA,NA
Grevillea callichlaena,8,Melaleuca wilsonii,109,Pultenaea millarii,22,Acacia wiseana,94,Angianthus conocephalus,66,NA,NA,Trachystylis stradbrokensis,127,Digitaria lanceolata,2,NA,NA,NA,NA,Cathormion umbellatum,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus bancroftii,136,NA,NA,NA,NA
Pomaderris ligustrina subsp. latifolia,8,Olearia pannosa subsp. cardiophylla,109,Tephrosia pumila,21,Bossiaea leptacantha,94,Ptilotus carinatus,66,NA,NA,Hypoxis hygrometrica var. hygrometrica,124,Garnotia stricta,2,NA,NA,NA,NA,Cynometra ramiflora,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus ochrophloia,136,NA,NA,NA,NA
Grevillea miqueliana,6,Atriplex vesicaria subsp. macrocystidia,107,Allocasuarina filidens,20,Daviesia incrassata subsp. reversifolia,94,Solanum pugiunculiferum,66,NA,NA,Swainsona tenuis,122,Triodia fissura,2,NA,NA,NA,NA,Acacia chrysotricha,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus amplifolia subsp. amplifolia,135,NA,NA,NA,NA
Grevillea burrowa,5,Eremophila glabra subsp. murrayana,106,Allocasuarina rigida,20,Acacia exocarpoides,93,Cuphonotus humistratus,63,NA,NA,Lomandra sonderi,120,Triodia prona,2,NA,NA,NA,NA,Cassia sp. Kalpowar (D.G.Fell+ DF2769),9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus pulchella,135,NA,NA,NA,NA
Pomaderris subplicata,5,Maireana schistocarpa,104,Smithia sensitiva,20,Tephrosia sp. NW Eremaean (S.van Leeuwen et al. PBS 0356),91,Heliotropium brachygyne,63,NA,NA,Pterostylis grandiflora,120,Digitaria veldkampiana,1,NA,NA,NA,NA,Crudia papuana,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia brachycarpa,134,NA,NA,NA,NA
Hakea asperma,4,Sclerolaena limbata,103,Acacia filipes,19,Acacia lachnophylla,90,Oldenlandia mitrasacmoides,62,NA,NA,Chamaexeros fimbriata,119,Eragrostiella bifaria,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus mannifera subsp. gullickii,134,NA,NA,NA,NA
Myoporum boninense,4,Tecticornia pergranulata subsp. divaricata,102,Acacia homaloclada,19,Gastrolobium polystachyum,90,Podolepis muelleri,60,NA,NA,Craspedia aurantia,117,Eragrostis jerichoensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus raveretiana,134,NA,NA,NA,NA
Grevillea miqueliana subsp. cincta,2,Callistemon teretifolius,100,Goodia macrocarpa,19,Acacia simmonsiana,88,Pachymitus cardaminoides,57,NA,NA,Argentipallium dealbatum,116,Eriachne imbricata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus planchoniana,133,NA,NA,NA,NA
Hibbertia cistiflora subsp. cistiflora,2,Sclerolaena anisacanthoides,99,Jacksonia chappilliae,19,Mirbelia depressa,88,Poranthera leiosperma,57,NA,NA,Hedyotis auricularia var. melanesica,116,Sorghum propinquum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia abergiana,130,NA,NA,NA,NA
NA,NA,Grevillea ilicifolia subsp. lobata,98,Jacksonia rupestris,19,Allocasuarina mackliniana subsp. xerophila,87,Hyalosperma praecox,55,NA,NA,Brachyscome melanocarpa,115,Triodia cunninghamii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus viminalis subsp. pryoriana,127,NA,NA,NA,NA
NA,NA,Frankenia pauciflora var. gunnii,97,Phyllodium pulchellum,19,Daviesia argillacea,87,Lepidium peregrinum,55,NA,NA,Viola eminens,114,Triodia integra,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus latisinensis,126,NA,NA,NA,NA
NA,NA,Phebalium glandulosum subsp. macrocalyx,95,Indigofera sp. A Kimberley Flora (G.J.Keighery & N.Gibson 70),18,Daviesia cardiophylla,87,Actinobole condensatum,50,NA,NA,Caladenia tensa,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia grandifolia subsp. grandifolia,125,NA,NA,NA,NA
NA,NA,Hysterobaeckea behrii,94,Tephrosia humifusa,18,Gastrolobium bennettsianum,87,Lepidium monoplocoides,49,NA,NA,Diuris palustris,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia hendersonii,124,NA,NA,NA,NA
NA,NA,Sclerolaena brevifolia,91,Acacia solenota,17,Acacia viscifolia,86,Gentianella polysperes,47,NA,NA,Ptilotus erubescens,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus nova-anglica,124,NA,NA,NA,NA
NA,NA,Androcalva tatei,88,Bossiaea alpina,17,Daviesia podophylla,86,Ptilotus gaudichaudii subsp. parviflorus,47,NA,NA,Phyla nodiflora,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia papuana,123,NA,NA,NA,NA
NA,NA,Goodenia vernicosa,85,Jacksonia effusa,17,Acacia daviesioides,85,Lachnagrostis plebeia,46,NA,NA,Pterostylis foliata,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ellipsoidea,121,NA,NA,NA,NA
NA,NA,Tecticornia moniliformis,85,Acacia proiantha,16,Daviesia purpurascens,85,Euphrasia scabra,42,NA,NA,Hydrocotyle muscosa,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus haemastoma,120,NA,NA,NA,NA
NA,NA,Atriplex rhagodioides,84,Aphyllodium latifolium,16,Acacia basedowii,84,Microlepidium pilosulum,42,NA,NA,Lepidosperma rigidulum,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus amplifolia,119,NA,NA,NA,NA
NA,NA,Tecticornia pterygosperma subsp. pterygosperma,83,Plagiocarpus conduplicatus,16,Gastrolobium stowardii,84,Heliotropium paniculatum,41,NA,NA,Calochilus herbaceus,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus archeri,119,NA,NA,NA,NA
NA,NA,Baeckea ericaea,82,Pultenaea alea,16,Isotropis centralis,84,Triglochin turrifera,40,NA,NA,Chiloglottis trilabra,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia jacobsiana,117,NA,NA,NA,NA
NA,NA,Phyllanthus saxosus,81,Indigofera verruculosa,15,Templetonia smithiana,84,Hyalosperma glutinosum,39,NA,NA,Anthosachne rectiseta,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia novoguinensis,117,NA,NA,NA,NA
NA,NA,Grevillea rosmarinifolia subsp. glabella,80,Jacksonia flexuosa,15,Tephrosia sp. Willowra (G.M.Chippendale 4809),82,Brachyscome readeri,37,NA,NA,Brachyscome radicans,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus oligantha,115,NA,NA,NA,NA
NA,NA,Halgania cyanea var. Charleville (R.W.Purdie+ 111),79,Cajanus hirtopilosus,14,Acacia minutifolia,81,Millotia macrocarpa,37,NA,NA,Ranunculus meristus,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon eucalyptoides,115,NA,NA,NA,NA
NA,NA,Hibbertia devitata,79,Senna procumbens,14,Cullen leucochaites,81,Phlegmatospermum eremaeum,36,NA,NA,Xyris bracteata,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia haematoxylon,114,NA,NA,NA,NA
NA,NA,Logania saxatilis,79,Acacia malloclada,13,Gastrolobium trilobum,81,Cymbonotus maidenii,35,NA,NA,Caladenia alata,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adansonia gregorii,113,NA,NA,NA,NA
NA,NA,Atriplex vesicaria subsp. variabilis,77,Alysicarpus brownii,13,Bossiaea cucullata,80,Euphrasia alsa,34,NA,NA,Calostemma luteum,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tholiformis,112,NA,NA,NA,NA
